playerid,Name,Position,Bats,Throws,Prev_Team,Age,Service,WAR_19,WAR_proj,Years_Med,Total_Med,AAV_Med,QO,Signing_Team,Years,Total,AAV
18655,A.J. Minter,RP,L,L,ATL,31,6.2,-0.1,0.5,1,"$5,000,000","$5,000,000",,NYM,2,"$22,000,000","$11,000,000"
16258,Aaron Bummer,RP,L,L,ATL,31,6.2,1.1,0.7,,$0,,,ATL,2,"$13,000,000","$6,500,000"
15288,Adam Cimber,RP,R,R,LAA,34,6.1,0.0,-0.2,,$0,,,,,,
1247,Adam Ottavino,RP,S,R,NYM,39,13.1,0.5,0.2,,$0,,,,,,
17859,Adbert Alzolay,RP,R,R,CHC,30,4.1,-0.8,0.0,,$0,,,,,,
12988,Andrew Chafin,RP,R,L,TEX,35,10.0,0.4,0.2,,$0,,,,,,
12828,Andrew Kittredge,RP,R,R,STL,35,6.1,0.3,0.2,1,"$3,000,000","$3,000,000",,BAL,1,"$10,000,000","$10,000,000"
10233,Aroldis Chapman,RP,L,L,PIT,37,14.0,1.1,0.8,1,"$10,000,000","$10,000,000",,BOS,1,"$10,750,000","$10,750,000"
13801,Austin Adams,RP,R,R,ATH,34,5.2,0.0,0.1,,$0,,,BOS,1,$0,
15047,Austin Voth,RP,R,R,SEA,33,5.1,0.0,0.0,,$0,,,,,,
12572,Blake Treinen,RP,R,R,LAD,37,10.1,1.0,0.6,1,"$8,000,000","$8,000,000",,LAD,2,"$22,000,000","$11,000,000"
13942,Brent Suter,RP,L,L,CIN,35,7.2,0.2,-0.1,,$0,,,CIN,1,"$2,500,000","$2,500,000"
10061,Brooks Raley,RP,L,L,NYM,37,5.0,0.3,0.1,1,"$4,000,000","$4,000,000",,,,,
14814,Buck Farmer,RP,L,R,CIN,34,7.1,0.6,0.0,,$0,,,,,,
12784,Burch Smith,RP,R,R,BAL,35,5.1,0.3,0.0,,$0,,,PIT,1,$0,
19349,Caleb Ferguson,RP,R,L,HOU,28,6.1,0.3,0.4,1,"$3,000,000","$3,000,000",,PIT,1,"$3,000,000","$3,000,000"
10078,Caleb Thielbar,RP,R,L,MIN,38,6.1,0.2,0.4,1,"$3,000,000","$3,000,000",,CHC,1,"$2,750,000","$2,750,000"
14542,Carlos Estévez,RP,R,R,PHI,32,8.0,1.2,0.3,2,"$18,000,000","$9,000,000",,,,,
12763,Chris Devenski,RP,R,R,TBR,34,7.1,-0.7,0.0,,$0,,,NYM,1,$0,
11847,Chris Martin,RP,R,R,BOS,39,7.1,0.9,0.7,1,"$7,000,000","$7,000,000",,TEX,1,"$5,500,000","$5,500,000"
19403,Colin Poche,RP,L,L,TBR,31,5.1,-0.3,-0.1,,$0,,,,,,
6655,Craig Kimbrel,RP,R,R,BAL,37,13.2,0.1,0.4,1,"$6,000,000","$6,000,000",,,,,
