playerid,Name,Projected WAR,Projected Years,Projected Total,Projected AAV,QO,Signing Team,Years,Total Salary,AAV
1246,Matt Bush,,,$0 ,,,,,,
1247,Adam Ottavino,,,$0 ,,,NYM,1,"$4,500,000 ","$4,500,000 "
1890,Matt Moore,,1,"$7,000,000 ","$7,000,000 ",,LAA,1,"$9,000,000 ","$9,000,000 "
1943,Zack Greinke,,1,"$7,000,000 ","$7,000,000 ",,,,,
2036,Clayton Kershaw,,1,"$21,000,000 ","$21,000,000 ",,LAD,2,"$16,000,000 ","$8,000,000 "
2520,Lance Lynn,,1,"$10,000,000 ","$10,000,000 ",,STL,1,"$11,000,000 ","$11,000,000 "
2895,Zach McAllister,,,$0 ,,,,,,
3548,Liam Hendriks,,,$0 ,,,BOS,2,"$10,000,000 ","$5,000,000 "
4806,Rich Hill,,,$0 ,,,,,,
5003,Jake Diekman,,,$0 ,,,NYM,1,"$4,000,000 ","$4,000,000 "
5114,Jeurys Familia,,,$0 ,,,,,,
5343,Brandon Crawford,,1,"$8,000,000 ","$8,000,000 ",,STL,1,"$2,000,000 ","$2,000,000 "
5448,Jesse Chavez,,,$0 ,,,ATL,1,"$740,000 ","$740,000 "
5524,Madison Bumgarner,,,$0 ,,,,,,
5615,Ryan Brasier,,,$0 ,,,LAD,2,"$9,000,000 ","$4,500,000 "
6399,José Cisnero,,,$0 ,,,LAA,1,"$1,750,000 ","$1,750,000 "
6632,Carlos Carrasco,,,$0 ,,,CLE,1,"$2,000,000 ","$2,000,000 "
6655,Craig Kimbrel,,1,"$10,000,000 ","$10,000,000 ",,BAL,1,"$13,000,000 ","$13,000,000 "
6797,Julio Teheran,,,$0 ,,,NYM,1,"$94,086 ","$94,086 "
6893,Johnny Cueto,,,$0 ,,,,,,
6895,Chase Anderson,,,$0 ,,,BOS,1,"$853,495 ","$853,495 "
6902,Martín Pérez,,1,"$8,000,000 ","$8,000,000 ",,PIT,1,"$8,000,000 ","$8,000,000 "
